谍影重重2,8.5,148763,2004,美国 德国,动作 悬疑 惊悚,谁说王家卫镜头很晃？
谍影重重,8.5,179697,2002,美国 德国 捷克,动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
阿飞正传,8.5,165480,1990,香港,犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。
恐怖游轮,8.3,291062,2009,英国 澳大利亚,剧情 悬疑 惊悚,不要企图在重复中寻找已经失去的爱。
达拉斯买家俱乐部,8.6,155055,2013,美国,剧情 传记 同性,Jared Leto的腿比女人还美！
迁徙的鸟,9.1,49571,2001,法国 德国 意大利 西班牙 瑞士,纪录片,最美的飞翔。
惊魂记,8.8,75522,1960,美国,悬疑 恐怖,故事的反转与反转，分裂电影的始祖。
爆裂鼓手,8.6,216447,2014,美国,剧情 音乐,无
荒野生存,8.6,119476,2007,美国,冒险 传记 剧情,出门必备：本草纲目。
勇闯夺命岛,8.5,133459,1996,美国,动作 冒险,类型片的极致。 
绿里奇迹,8.7,99066,1999,美国,犯罪 剧情 奇幻 悬疑,天使暂时离开。
未麻的部屋,8.8,83926,1997,日本,动画 奇幻 惊悚,好的剧本是，就算你猜到了结局也猜不到全部。
魔女宅急便,8.4,178700,1989,日本,动画 奇幻 冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
再次出发之纽约遇见你,8.5,151507,2013,美国,喜剧 爱情 音乐,爱我就给我看你的播放列表。
东京物语,9.2,46301,1953,日本,剧情 家庭,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
牯岭街少年杀人事件,8.7,95960,1991,台湾,剧情 犯罪,弱者送给弱者的一刀。
卡萨布兰卡,8.6,116453,1942,美国,剧情 爱情 战争,与同名歌曲无关。
燕尾蝶,8.6,103115,1996,日本,犯罪 剧情,现实与童话交相辉映的旅程。
末路狂花,8.7,96519,1991,美国 法国,犯罪 剧情 惊悚,没有了退路，只好飞向自由。
被解救的姜戈,8.5,242683,2012,美国,剧情 动作 西部 冒险,热血沸腾，那个低俗、性感的无耻混蛋又来了。
这个男人来自地球,8.5,163454,2007,美国,剧情 科幻,科幻真正的魅力不是视觉效果能取代的。 
变脸,8.4,200962,1997,美国,动作 科幻 犯罪,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
终结者2：审判日,8.5,131469,1991,美国 法国,动作 科幻,少见的超越首部的续集，动作片中的经典。
英国病人,8.4,165192,1996,美国 英国,爱情 剧情 战争,In memory， love lives forever...
忠犬八公物语,9.0,51050,1987,日本,剧情,养狗三日，便会对你终其一生。
E.T. 外星人,8.5,142079,1982,美国,剧情 科幻 奇幻 冒险,生病的E.T.皮肤的颜色就像柿子饼。
哪吒闹海,8.8,72983,1979,中国大陆,冒险 动画 奇幻,想你时你在闹海。
叫我第一名,8.6,101950,2008,美国,剧情 传记,乐观比一切都有力量。
青蛇,8.4,201870,1993,香港,剧情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
源代码,8.3,382013,2011,美国 加拿大,剧情 动作 科幻 犯罪 惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
发条橙,8.4,174223,1971,英国 美国,犯罪 剧情 科幻,我完全康复了。
黄金三镖客,9.1,47017,1966,意大利 西班牙 西德,冒险 西部,最棒的西部片。
黑客帝国3：矩阵革命,8.5,143025,2003,美国 澳大利亚,动作 科幻,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
新龙门客栈,8.4,168744,1992,香港 中国大陆,剧情 动作 武侠 古装,嬉笑怒骂，调风动月。
穆赫兰道,8.3,217732,2001,法国 美国,剧情 悬疑 惊悚,大卫·林奇的梦境迷宫。
美国丽人,8.4,171876,1999,美国,剧情 家庭,每个人的内心都是深不可测的大海。 
非常嫌疑犯,8.6,107479,1995,德国 美国,剧情 犯罪 悬疑 惊悚,我不信仰上帝，但我敬畏上帝。
城市之光,9.2,39100,1931,美国,喜剧 剧情 爱情,永远的小人物，伟大的卓别林。
上帝也疯狂,8.6,89945,1980,博茨瓦纳 南非,喜剧,纯净原始的笑与感动。
无耻混蛋,8.4,208051,2009,美国 德国,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
初恋这件小事,8.3,425014,2010,泰国,喜剧 爱情,黑小鸭速效美白记。
勇士,8.9,81578,2011,美国,剧情 运动 家庭,热血沸腾，相当完美的娱乐拳击大餐。
爱·回家,9.0,44147,2002,韩国,剧情 儿童 家庭,献给所有外婆的电影。
蓝色大门,8.2,258876,2002,台湾 法国,剧情 爱情 同性,青春的窃窃私语。 
曾经,8.3,192388,2006,爱尔兰,剧情 音乐 爱情,有些幸福无关爱情。
无敌破坏王,8.6,172602,2012,美国,喜剧 动画 冒险,迪士尼和皮克斯拿错剧本的产物。
模仿游戏,8.5,231721,2014,英国 美国,剧情 传记 战争 同性,无
大卫·戈尔的一生,8.7,80692,2003,美国 德国 英国,剧情 犯罪 悬疑,捍卫人权只是信仰，一点不妨碍其行为的残忍。
暖暖内含光,8.4,134877,2004,美国,剧情 爱情 奇幻,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
麦兜故事,8.5,119608,2001,香港,剧情 喜剧 动画,麦兜是一只很哲学的猪。 
血钻,8.5,118976,2006,美国 德国,剧情 惊悚 冒险,每个美丽事物背后都是滴血的现实。
蝴蝶,8.6,90874,2002,法国,剧情 儿童 喜剧,我们长途跋涉寻找的东西，有可能一直就在身边。 
国王的演讲,8.3,314364,2010,英国 澳大利亚 美国,剧情 传记 历史,皇上无话儿。
遗愿清单,8.5,115641,2007,美国,冒险 喜剧 剧情,用剩余不多的时间，去燃烧整个生命。
巴黎淘气帮,8.6,99833,2009,法国 比利时,儿童 喜剧 家庭,四百击的反面。
与狼共舞,8.9,53068,1990,美国,冒险 剧情 西部,充满诗意与情怀的史诗作品。 
荒岛余生,8.4,122087,2000,美国,冒险 剧情,一个人的独角戏。
爱在午夜降临前,8.7,104331,2013,美国,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
偷拐抢骗,8.5,108464,2000,英国 美国,喜剧 犯罪,典型盖·里奇式的英国黑色幽默黑帮片。
枪火,8.6,90214,1999,香港,剧情 动作 犯罪,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
疯狂的石头,8.2,284707,2006,中国大陆 香港,喜剧 犯罪,中国版《两杆大烟枪》。
